,0
712,0022500110
713,0022500112
714,0022500106
715,0022500111
716,0022500109
717,0022500107
718,0022500105
719,0022500113
720,0022500102
721,0022500101
722,0022500104
723,0022500100
724,0022500103
725,0022500093
726,0022500095
727,0022500098
728,0022500090
729,0022500018
730,0022500019
731,0022500099
732,0022500096
733,0022500092
734,0022500097
735,0022500091
736,0022500094
737,0022500005
738,0022500006
739,0022500082
740,0022500083
741,0022500086
742,0022500004
743,0022500003
744,0022500081
745,0022500088
746,0022500087
747,0022500080
748,0022500089
749,0022500085
750,0022500084
751,0022500001
752,0022500002
